Rank ,Major ,Degree Type ,Early Career Pay ,Mid-Career Pay  ,
286 (tie),Social & Criminal Justice,Bachelor's,"$40,800 ","$58,100 ",
288,English Teacher Education,Bachelor's,"$35,900 ","$58,000 ",
289 (tie),Education,Bachelor's,"$38,700 ","$57,800 ",
289 (tie),Legal Studies,Bachelor's,"$40,200 ","$57,800 ",
291,Administration,Bachelor's,"$39,500 ","$57,600 ",
292 (tie),Graphic Communication,Bachelor's,"$40,500 ","$57,300 ",
292 (tie),Physical Education Teaching,Bachelor's,"$39,500 ","$57,300 ",
294 (tie),Humanities,Bachelor's,"$40,900 ","$57,200 ",
294 (tie),Psychology & Sociology,Bachelor's,"$37,800 ","$57,200 ",
296,Media Arts,Bachelor's,"$39,600 ","$57,100 ",
297,Family & Consumer Science,Bachelor's,"$35,900 ","$56,500 ",
298 (tie),Art,Bachelor's,"$36,500 ","$56,400 ",
298 (tie),Religion,Bachelor's,"$37,800 ","$56,400 ",
300 (tie),Behavioral Science,Bachelor's,"$35,800 ","$56,200 ",
300 (tie),Recreation Management,Bachelor's,"$37,800 ","$56,200 ",
302,Human Development,Bachelor's,"$36,700 ","$55,900 ",
303,Communication Arts,Bachelor's,"$40,000 ","$55,800 ",
304,Music Teacher Education,Bachelor's,"$36,800 ","$55,600 ",
305,Health Care Management,Bachelor's,"$37,800 ","$55,500 ",
306,Culinary Arts,Bachelor's,"$33,100 ","$55,300 ",
307 (tie),Community Health Education,Bachelor's,"$37,200 ","$55,200 ",
307 (tie),Culinary Arts & Culinary Management,Bachelor's,"$33,600 ","$55,200 ",
309 (tie),Paralegal Studies,Bachelor's,"$35,200 ","$54,900 ",
309 (tie),Theatre Arts,Bachelor's,"$37,200 ","$54,900 ",
311 (tie),Dance,Bachelor's,"$38,200 ","$54,800 ",
311 (tie),Women's Studies,Bachelor's,"$40,400 ","$54,800 ",
313,Exercise Science,Bachelor's,"$35,900 ","$54,700 ",
314 (tie),General Studies,Bachelor's,"$38,700 ","$54,300 ",
314 (tie),Recreation & Leisure Studies,Bachelor's,"$39,000 ","$54,300 ",
316,Athletic Training,Bachelor's,"$36,000 ","$51,900 ",
317,Parks & Recreation Management,Bachelor's,"$38,200 ","$51,700 ",
318 (tie),Health Services Administration,Bachelor's,"$36,300 ","$51,500 ",
318 (tie),Special Education,Bachelor's,"$35,000 ","$51,500 ",
320,Art Teacher Education,Bachelor's,"$35,300 ","$51,300 ",
321,Theology,Bachelor's,"$37,600 ","$51,200 ",
322 (tie),Culinary Arts & Food Service Management,Bachelor's,"$34,700 ","$50,500 ",
322 (tie),Horticulture,Bachelor's,"$37,600 ","$50,500 ",
322 (tie),Pastoral Ministry,Bachelor's,"$32,800 ","$50,500 ",
325,Bible Studies & Theology,Bachelor's,"$34,900 ","$50,400 ",
326,Biblical Studies,Bachelor's,"$36,200 ","$49,400 ",
327,Elementary Education,Bachelor's,"$34,700 ","$48,900 ",
328,Youth Ministry,Bachelor's,"$32,900 ","$48,400 ",
329,Human Development & Family Studies,Bachelor's,"$34,300 ","$47,800 ",
330,Therapeutic Recreation,Bachelor's,"$35,200 ","$47,700 ",
331,Social Work (SW),Bachelor's,"$33,800 ","$46,700 ",
332,Human Services (HS),Bachelor's,"$34,000 ","$44,600 ",
333,Child Development,Bachelor's,"$32,000 ","$42,500 ",
334,Early Childhood & Elementary Education,Bachelor's,"$34,800 ","$41,900 ",
335,Child & Family Studies,Bachelor's,"$31,400 ","$40,700 ",
336,Early Childhood Education,Bachelor's,"$30,700 ","$37,500 ",
